date,market,개인,외국인,기관,연기금
2024-07-08,KOSDAQ,-366.68,791.78,-489.61,70.27
2024-07-08,KOSPI,-1875.03,5297.87,-3470.81,-475.35
2024-07-09,KOSDAQ,1723.06,-616.04,-1066.77,125.31
2024-07-09,KOSPI,-2968.7,3270.42,-285.47,-653.84
2024-07-10,KOSDAQ,1704.5,-513.79,-992.38,-216.6
2024-07-10,KOSPI,-2793.38,5274.96,137.66,-719.42
2024-07-11,KOSDAQ,1949.85,-46.75,-1659.82,-209.85
2024-07-11,KOSPI,-3476.41,6098.57,-848.58,-240.89
2024-07-12,KOSDAQ,-180.19,850.92,-544.59,14.97
2024-07-12,KOSPI,4729.27,-5510.52,842.29,-159.6
2024-07-15,KOSDAQ,-766.34,1082.69,-160.16,-275.0
2024-07-15,KOSPI,-366.91,-774.21,1257.44,-725.65
2024-07-16,KOSDAQ,1616.51,-900.68,-602.93,-314.48
2024-07-16,KOSPI,-2903.47,1896.04,961.7,-517.41
2024-07-17,KOSDAQ,542.94,-221.2,-289.29,-538.09
2024-07-17,KOSPI,1036.54,-2542.34,1420.05,-1969.91
2024-07-18,KOSDAQ,53.66,822.91,-743.84,-246.29
2024-07-18,KOSPI,3688.63,-3490.71,130.01,-854.07
2024-07-19,KOSDAQ,-225.43,-311.77,649.84,96.03
2024-07-19,KOSPI,7848.2,-4228.92,-3638.89,-1082.66
2024-07-22,KOSDAQ,2591.78,-1808.78,-868.93,-353.87
2024-07-22,KOSPI,1414.06,-844.6,-237.91,-935.65
2024-07-23,KOSDAQ,-1806.82,1222.36,557.53,-104.9
2024-07-23,KOSPI,-1990.31,2501.72,-245.56,136.83
2024-07-24,KOSDAQ,459.89,-320.46,208.46,126.61
2024-07-24,KOSPI,2345.07,-2653.79,409.84,-126.86
2024-07-25,KOSDAQ,958.9,-1395.22,505.5,-365.9
2024-07-25,KOSPI,8266.8,-6785.23,-1529.36,-215.67
2024-07-26,KOSDAQ,-956.81,421.0,561.86,-86.59
2024-07-26,KOSPI,-3729.77,-474.72,3982.95,51.31
2024-07-29,KOSDAQ,-1451.93,1043.35,462.9,-159.48
2024-07-29,KOSPI,-4846.71,4443.67,767.82,219.75
2024-07-30,KOSDAQ,851.68,-1026.23,344.39,-108.35
2024-07-30,KOSPI,7268.81,-2407.27,-3538.59,-1004.32
2024-07-31,KOSDAQ,478.67,-604.15,109.19,-190.51
2024-07-31,KOSPI,-1771.84,1503.07,483.07,-539.45
2024-08-01,KOSDAQ,-629.02,328.27,312.82,-52.14
2024-08-01,KOSPI,-3005.48,4411.89,-1737.87,251.73
2024-08-02,KOSDAQ,2438.38,-1505.32,-896.62,-385.66
2024-08-02,KOSPI,16214.49,-8448.84,-7807.3,-1094.63
2024-08-05,KOSDAQ,-6788.65,5456.63,1185.95,-59.71
2024-08-05,KOSPI,16944.85,-15198.01,-2692.81,2358.45
2024-08-06,KOSDAQ,-4917.57,3576.92,1251.84,224.23
2024-08-06,KOSPI,4533.91,-1677.09,-3256.15,2372.12
2024-08-07,KOSDAQ,1210.04,-1582.74,369.52,369.0
2024-08-07,KOSPI,2933.64,-174.91,-3064.53,324.27
2024-08-08,KOSDAQ,2444.7,-1987.87,-615.09,-122.38
2024-08-08,KOSPI,7961.75,-5167.34,-2822.52,852.26
2024-08-09,KOSDAQ,-1213.91,507.77,744.7,18.17
2024-08-09,KOSPI,-376.2,17.21,346.69,340.21
2024-08-12,KOSDAQ,1716.42,-1549.66,-156.89,-121.42
2024-08-12,KOSPI,-1967.54,780.96,1469.4,39.61
2024-08-13,KOSDAQ,2405.72,-1741.65,-688.91,-220.29
2024-08-13,KOSPI,-274.34,1318.29,-632.42,-22.49
2024-08-14,KOSDAQ,-806.89,828.09,8.02,51.64
2024-08-14,KOSPI,-3162.48,3901.1,-1143.48,-290.44
2024-08-16,KOSDAQ,-1344.01,1010.17,658.96,258.14
2024-08-16,KOSPI,-14658.07,12054.54,2158.78,-23.58
2024-08-19,KOSDAQ,1393.83,-1129.51,-134.32,-8.5
2024-08-19,KOSPI,1386.78,-1175.5,-155.49,-377.01
2024-08-20,KOSDAQ,-1105.91,1005.33,155.82,176.15
2024-08-20,KOSPI,-2792.41,2890.12,38.46,145.06
2024-08-21,KOSDAQ,3639.09,-3342.8,-46.98,56.81
2024-08-21,KOSPI,-137.73,313.84,-261.19,-641.33
2024-08-22,KOSDAQ,1745.47,-816.54,-746.37,3.67
2024-08-22,KOSPI,-1129.33,661.47,422.6,74.71
2024-08-23,KOSDAQ,-595.48,1126.07,-99.11,145.19
2024-08-23,KOSPI,-1036.62,-2417.99,3453.36,145.1
2024-08-26,KOSDAQ,1567.93,-1067.33,-467.05,-53.32
2024-08-26,KOSPI,986.37,-4648.13,3997.22,317.46
2024-08-27,KOSDAQ,865.04,-10.96,-777.03,-240.25
2024-08-27,KOSPI,-44.0,-4065.54,3700.8,-182.15
2024-08-28,KOSDAQ,628.57,-832.63,161.34,35.94
2024-08-28,KOSPI,548.49,-3396.37,2527.8,-327.67
2024-08-29,KOSDAQ,1775.09,-226.75,-1297.16,-167.09
2024-08-29,KOSPI,6191.57,-4177.84,-2656.66,-280.12
2024-08-30,KOSDAQ,-1852.91,1943.15,34.45,-79.36
2024-08-30,KOSPI,-1152.5,-3806.6,4830.8,641.4
2024-09-02,KOSDAQ,1205.42,-544.64,-550.32,-17.09
2024-09-02,KOSPI,1577.37,2391.57,-4150.83,18.97
2024-09-03,KOSDAQ,1650.05,-580.96,-990.3,-89.46
2024-09-03,KOSPI,5133.65,-2871.15,-2470.57,32.12
2024-09-04,KOSDAQ,1126.61,295.54,-1496.54,-228.84
2024-09-04,KOSPI,16502.29,-9885.79,-7302.11,307.86
2024-09-05,KOSDAQ,346.8,-165.22,-244.05,-240.3
2024-09-05,KOSPI,4651.82,-5899.02,1203.84,523.5
2024-09-06,KOSDAQ,815.42,-851.61,-44.6,-35.33
2024-09-06,KOSPI,1708.07,-2649.23,829.46,8.52
2024-09-09,KOSDAQ,-2005.18,874.24,1111.05,165.78
2024-09-09,KOSPI,4694.05,-5401.76,450.31,357.38
2024-09-10,KOSDAQ,2549.01,-1912.05,-647.5,-135.53
2024-09-10,KOSPI,6850.6,-6653.87,-599.72,370.66
2024-09-11,KOSDAQ,-147.43,342.11,-202.0,93.8
2024-09-11,KOSPI,8906.84,-10283.61,424.95,192.82
2024-09-12,KOSDAQ,-3399.26,2125.77,1252.52,210.21
2024-09-12,KOSPI,-2424.22,2785.26,255.15,-438.19
2024-09-13,KOSDAQ,1331.28,-1297.22,-23.41,81.88
2024-09-13,KOSPI,4036.51,-9596.33,4365.49,710.34
2024-09-19,KOSDAQ,-1902.92,1728.19,257.76,-60.02
2024-09-19,KOSPI,2640.73,-11713.28,8794.88,107.39
2024-09-20,KOSDAQ,-1469.07,1321.52,482.06,49.72
2024-09-20,KOSPI,-2443.83,-326.5,2728.36,140.36
